record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms,frames_folder
1024.532653517,71,0.349625,1.68735,1.462789,0.004248,0.217147,3.702344,run_tableB_20250811_162552/frames/trial_0071_20250811_162706
1025.573054084,72,0.953005,1.852189,1.647986,0.009458,0.190236,3.628518,run_tableB_20250811_162552/frames/trial_0072_20250811_162707
1026.596251737,73,1.344198,1.759695,1.489039,0.006722,0.258545,3.793675,run_tableB_20250811_162552/frames/trial_0073_20250811_162708
1027.652870295,74,0.780903,1.660449,1.533151,0.003056,0.121488,4.143119,run_tableB_20250811_162552/frames/trial_0074_20250811_162709
1028.638602939,75,0.423699,1.8618,1.561683,0.004298,0.290739,3.580991,run_tableB_20250811_162552/frames/trial_0075_20250811_162710
1029.689454224,76,0.176122,1.653847,1.413784,0.006092,0.229863,3.451466,run_tableB_20250811_162552/frames/trial_0076_20250811_162711
1030.722812947,77,0.348176,1.75585,1.458109,0.004698,0.289596,4.357232,run_tableB_20250811_162552/frames/trial_0077_20250811_162713
1031.858436591,78,0.12206,1.803029,1.578966,0.004328,0.216468,3.194541,run_tableB_20250811_162552/frames/trial_0078_20250811_162714
1032.94685112,79,0.470166,1.79313,1.615024,0.006472,0.167696,3.665568,run_tableB_20250811_162552/frames/trial_0079_20250811_162715
1033.981659874,80,0.702954,1.908628,1.62389,0.0052,0.27599,3.999799,run_tableB_20250811_162552/frames/trial_0080_20250811_162716
1034.993517476,81,0.305706,1.903037,1.657995,0.003727,0.237828,3.24731,run_tableB_20250811_162552/frames/trial_0081_20250811_162717
1036.046272293,82,0.817311,1.798539,1.631856,0.004228,0.1593,4.258006,run_tableB_20250811_162552/frames/trial_0082_20250811_162718
1037.045972604,83,1.508282,1.610615,1.433091,0.005791,0.166834,3.41709,run_tableB_20250811_162552/frames/trial_0083_20250811_162719
1038.102208293,84,1.304359,1.789081,1.537809,0.00568,0.241395,4.649012,run_tableB_20250811_162552/frames/trial_0084_20250811_162720
1039.021511525,85,0.322989,1.922794,1.641173,0.0056,0.27056,3.358669,run_tableB_20250811_162552/frames/trial_0085_20250811_162721
1039.96459139,86,0.997911,1.625343,1.4644,0.003677,0.154151,3.415637,run_tableB_20250811_162552/frames/trial_0086_20250811_162722
1040.991060696,87,0.306007,2.035445,1.719641,0.004668,0.305857,3.915179,run_tableB_20250811_162552/frames/trial_0087_20250811_162723
1041.968865211,88,1.085385,0.480636,0.292501,0.006051,0.177344,4.108362,run_tableB_20250811_162552/frames/trial_0088_20250811_162724
1043.043709932,89,0.590021,1.700104,1.483666,0.003797,0.209825,3.429662,run_tableB_20250811_162552/frames/trial_0089_20250811_162725
1044.037620847,90,0.570525,1.752853,1.555701,0.003466,0.189127,3.330276,run_tableB_20250811_162552/frames/trial_0090_20250811_162726
1045.106545051,91,0.673259,1.830219,1.58707,0.007063,0.231456,3.628998,run_tableB_20250811_162552/frames/trial_0091_20250811_162727
1046.144929224,92,1.378277,1.670999,1.45444,0.004869,0.207261,3.404525,run_tableB_20250811_162552/frames/trial_0092_20250811_162728
1047.175850431,93,0.163418,1.680026,1.467124,0.003126,0.20693,3.321028,run_tableB_20250811_162552/frames/trial_0093_20250811_162729
1048.626116288,94,1.843845,1.774874,1.551433,0.008125,0.210176,3.694972,run_tableB_20250811_162552/frames/trial_0094_20250811_162730
1049.64684574,95,0.273956,1.965833,1.679805,0.004578,0.278585,3.344682,run_tableB_20250811_162552/frames/trial_0095_20250811_162731
1050.685948349,96,1.529412,1.65068,1.491229,0.006853,0.14867,3.346276,run_tableB_20250811_162552/frames/trial_0096_20250811_162732
1051.7004421,97,1.321659,1.620964,1.343551,0.010199,0.262435,4.676902,run_tableB_20250811_162552/frames/trial_0097_20250811_162734
1052.766909329,98,0.496856,1.779832,1.561762,0.003607,0.211118,3.578803,run_tableB_20250811_162552/frames/trial_0098_20250811_162735
1053.799632079,99,1.451225,1.653245,1.483846,0.004859,0.160141,3.266634,run_tableB_20250811_162552/frames/trial_0099_20250811_162736
1054.857815043,100,1.487443,2.133959,1.915078,0.011311,0.200608,3.724568,run_tableB_20250811_162552/frames/trial_0100_20250811_162737
1055.811270738,101,1.848743,1.487351,1.257829,0.006793,0.21746,3.436575,run_tableB_20250811_162552/frames/trial_0101_20250811_162738
1056.83962666,102,2.043991,1.652022,1.51802,0.003677,0.12746,3.356011,run_tableB_20250811_162552/frames/trial_0102_20250811_162739
1131.095385508,103,1.082998,2.091405,1.763578,0.01085,0.309663,3.426487,run_tableB_20250811_162552/frames/trial_0103_20250811_162853
