record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms,frames_folder,timestamp_perf_counter,latency_ms,match_dt_ms
68726.409048024,29,0.693965,1.720995,1.583678,0.002614,0.132399,3.014326,run_tableB_20250812_150623/frames/trial_0029_20250812_150703,68726.413818402,5.0,4.770378000102937
68727.394639856,30,1.94148,1.874834,1.732576,0.002976,0.136386,2.812737,run_tableB_20250812_150623/frames/trial_0030_20250812_150704,68727.399170353,10.0,4.530497011728585
68728.444927426,31,0.365948,1.508566,0.917986,0.003777,0.583888,2.95211,run_tableB_20250812_150623/frames/trial_0031_20250812_150706,68728.448512836,10.0,3.5854099987773225
68729.454961075,32,1.141827,1.800324,1.096721,0.004719,0.694676,2.820221,run_tableB_20250812_150623/frames/trial_0032_20250812_150707,68729.459284633,12.0,4.323558008763939
68730.544971628,33,0.414549,1.769547,1.603655,0.002575,0.160341,2.753496,run_tableB_20250812_150623/frames/trial_0033_20250812_150708,68730.552752235,13.0,7.780607003951445
68731.617482966,34,0.682964,1.692732,1.519286,0.002735,0.168026,2.752765,run_tableB_20250812_150623/frames/trial_0034_20250812_150709,68731.622767941,13.0,5.284974991809577
68732.757733983,35,1.22366,1.444495,0.853775,0.002235,0.585761,2.994208,run_tableB_20250812_150623/frames/trial_0035_20250812_150710,68732.762792833,11.0,5.058850001660176
68733.797882093,36,0.257454,1.819991,1.669608,0.002535,0.145223,2.806075,run_tableB_20250812_150623/frames/trial_0036_20250812_150711,68733.803198296,9.0,5.316202994436026
68734.863587977,37,0.894151,1.512343,0.995642,0.002755,0.51071,2.889081,run_tableB_20250812_150623/frames/trial_0037_20250812_150712,68734.86776581,11.0,4.17783300508745
68735.979557629,38,0.906874,1.88297,1.699355,0.003557,0.17599,3.01662,run_tableB_20250812_150623/frames/trial_0038_20250812_150713,68735.987758976,14.0,8.201346994610503
68737.069643674,39,1.682192,1.814511,1.630696,0.004128,0.176832,2.890002,run_tableB_20250812_150623/frames/trial_0039_20250812_150714,68737.073884426,11.0,4.240752008627169
68738.1339461,40,1.464914,1.898278,1.71835,0.002876,0.174057,2.785106,run_tableB_20250812_150623/frames/trial_0040_20250812_150715,68738.139220425,11.0,5.274324998026714
68739.284422229,41,1.237806,1.806827,1.622359,0.002475,0.179467,2.987146,run_tableB_20250812_150623/frames/trial_0041_20250812_150716,68739.288548406,12.0,4.126176994759589
68740.407127183,42,0.433425,1.737617,1.589267,0.003216,0.142498,2.775708,run_tableB_20250812_150623/frames/trial_0042_20250812_150717,68740.412758719,13.0,5.631535997963511
68741.53573883,43,1.294263,1.730683,1.425841,0.00555,0.295716,2.721005,run_tableB_20250812_150623/frames/trial_0043_20250812_150719,68741.542812427,16.0,7.07359699299559
68742.683082781,44,0.107382,1.507674,1.374614,0.002335,0.12794,2.871598,run_tableB_20250812_150623/frames/trial_0044_20250812_150720,68742.687929843,11.0,4.847061994951218
68743.79424148,45,0.733609,1.727477,1.587404,0.001943,0.135705,4.910672,run_tableB_20250812_150623/frames/trial_0045_20250812_150721,68743.799237772,10.0,4.996291987481527
68744.891247323,46,0.73421,1.815663,1.593115,0.001753,0.218391,2.859786,run_tableB_20250812_150623/frames/trial_0046_20250812_150722,68744.897876745,13.0,6.6294220014242455
68746.077590346,47,0.39877,1.85104,1.709003,0.002023,0.137789,2.86215,run_tableB_20250812_150623/frames/trial_0047_20250812_150723,68746.082854031,10.0,5.263685001409613
68747.131331509,48,1.011701,1.859256,1.665321,0.003105,0.188054,2.758876,run_tableB_20250812_150623/frames/trial_0048_20250812_150724,68747.137857026,14.0,6.525517004774883
68748.194456471,49,0.815664,1.746804,1.13327,0.00506,0.604687,2.845639,run_tableB_20250812_150623/frames/trial_0049_20250812_150725,68748.197946251,10.0,3.489780006930232
68749.270338725,50,1.11181,1.746854,1.606971,0.003206,0.13345,2.913466,run_tableB_20250812_150623/frames/trial_0050_20250812_150726,68749.273944363,10.0,3.605638004955836
68750.383614644,51,0.197221,1.806586,1.661023,0.002795,0.139733,2.886476,run_tableB_20250812_150623/frames/trial_0051_20250812_150727,68750.388614923,11.0,5.000278993975371
68751.476164991,52,1.037401,1.625165,1.077135,0.002274,0.543291,2.817857,run_tableB_20250812_150623/frames/trial_0052_20250812_150729,68751.482848335,15.0,6.683343992335722
68752.553340326,53,0.420972,1.848835,1.697011,0.003286,0.145032,3.006081,run_tableB_20250812_150623/frames/trial_0053_20250812_150730,68752.557973796,13.0,4.633470001863316
68753.637816275,54,1.174598,1.809382,1.653318,0.003416,0.149241,3.009136,run_tableB_20250812_150623/frames/trial_0054_20250812_150731,68753.642916863,13.0,5.100587994093075
68754.703180517,55,1.354687,2.054782,1.362882,0.002665,0.68636,3.051566,run_tableB_20250812_150623/frames/trial_0055_20250812_150732,68754.707875773,11.0,4.695256007835269
68755.777674591,56,0.375747,1.775698,1.609746,0.003547,0.159039,2.941881,run_tableB_20250812_150623/frames/trial_0056_20250812_150733,68755.782841575,15.0,5.16698400315363
68756.868032477,57,1.37227,1.932853,1.6382,0.00537,0.285206,2.691038,run_tableB_20250812_150623/frames/trial_0057_20250812_150734,68756.872919705,13.0,4.887228002189659
68757.920601466,58,0.944626,1.793121,1.651164,0.002585,0.130435,2.74494,run_tableB_20250812_150623/frames/trial_0058_20250812_150735,68757.927900928,15.0,7.299461998627521
68758.958122016,59,0.269937,1.312948,0.976967,0.002274,0.3295,2.813539,run_tableB_20250812_150623/frames/trial_0059_20250812_150736,68758.962851557,9.0,4.729540989501402
68759.95588087,60,0.298771,1.493939,1.054793,0.003827,0.432813,4.47372,run_tableB_20250812_150623/frames/trial_0060_20250812_150737,68759.96289203,14.0,7.011160007095896
68760.999489204,61,0.229401,1.852152,1.68081,0.003166,0.165231,2.862932,run_tableB_20250812_150623/frames/trial_0061_20250812_150738,68761.003341486,11.0,3.852281995932572
68761.979432698,62,0.928465,1.574099,0.984521,0.003306,0.582635,2.93087,run_tableB_20250812_150623/frames/trial_0062_20250812_150739,68761.983333321,9.0,3.900622992659919
68763.04739799,63,0.364796,1.570101,0.941981,0.003817,0.621017,2.961126,run_tableB_20250812_150623/frames/trial_0063_20250812_150740,68763.052951109,13.0,5.553119000978768
68764.069738474,64,0.768545,1.747465,1.573257,0.002936,0.168256,2.70785,run_tableB_20250812_150623/frames/trial_0064_20250812_150741,68764.074012288,8.0,4.273813989129849
68765.088967829,65,0.921512,1.397637,1.031589,0.003516,0.359687,2.735582,run_tableB_20250812_150623/frames/trial_0065_20250812_150742,68765.094025587,12.0,5.0577579968376085
68766.10018913,66,1.051647,1.81415,1.625295,0.002084,0.183605,2.816625,run_tableB_20250812_150623/frames/trial_0066_20250812_150743,68766.107984995,14.0,7.795865007210523
68767.178963762,67,0.092935,1.820312,1.662405,0.002635,0.152637,2.678054,run_tableB_20250812_150623/frames/trial_0067_20250812_150744,68767.18338857,8.0,4.424808008479886
68768.22513295,68,0.281048,1.770579,1.584008,0.003146,0.179998,3.059241,run_tableB_20250812_150623/frames/trial_0068_20250812_150745,68768.23298483,14.0,7.851880000089295
68769.34868717,69,0.415531,1.612953,1.472719,0.002364,0.135174,2.778282,run_tableB_20250812_150623/frames/trial_0069_20250812_150746,68769.35295901,11.0,4.27183999272529
68770.479990687,70,0.415581,1.73916,1.608394,0.002084,0.125896,2.693172,run_tableB_20250812_150623/frames/trial_0070_20250812_150748,68770.487996136,16.0,8.005448995390907
68771.579902183,71,1.241504,1.630666,1.494419,0.002675,0.130816,2.756602,run_tableB_20250812_150623/frames/trial_0071_20250812_150749,68771.583387655,7.0,3.4854719997383654
68772.687153656,72,0.07463,1.826304,1.693924,0.002024,0.128131,2.703973,run_tableB_20250812_150623/frames/trial_0072_20250812_150750,68772.692961073,11.0,5.807416993775405
68773.775129054,73,0.298672,1.799443,1.568879,0.002094,0.225604,2.81399,run_tableB_20250812_150623/frames/trial_0073_20250812_150751,68773.7793936,7.0,4.264545990736224
68774.867737921,74,1.668115,1.78698,1.646695,0.002836,0.134112,2.788271,run_tableB_20250812_150623/frames/trial_0074_20250812_150752,68774.872952324,12.0,5.214403005084023
68775.926541781,75,1.390043,1.51089,1.175179,0.002756,0.329649,2.769867,run_tableB_20250812_150623/frames/trial_0075_20250812_150753,68775.933054794,14.0,6.513013009680435
68777.048415011,76,1.334158,1.734931,1.592324,0.003286,0.136266,3.007494,run_tableB_20250812_150623/frames/trial_0076_20250812_150754,68777.052986004,10.0,4.570992998196743
68778.210220868,77,1.506882,1.804893,1.671222,0.002294,0.129063,2.749649,run_tableB_20250812_150623/frames/trial_0077_20250812_150755,68778.214080744,8.0,3.859876000205986
68779.27451076,78,0.833907,1.868262,1.708772,0.004138,0.151846,2.994539,run_tableB_20250812_150623/frames/trial_0078_20250812_150756,68779.279424978,7.0,4.914217992336489
68780.378365468,79,1.950757,2.013886,1.727237,0.004769,0.278583,2.823638,run_tableB_20250812_150623/frames/trial_0079_20250812_150757,68780.383041168,12.0,4.675699994550087
68781.42241915,80,0.77099,1.693583,1.558089,0.002495,0.130595,2.7023,run_tableB_20250812_150623/frames/trial_0080_20250812_150759,68781.42798382,9.0,5.564670005696826
68782.52269522,81,1.764166,1.762754,1.575352,0.002725,0.182212,2.943884,run_tableB_20250812_150623/frames/trial_0081_20250812_150800,68782.528044416,12.0,5.349195998860523
68783.63603033,82,0.68615,1.801697,1.422784,0.004399,0.368442,2.896936,run_tableB_20250812_150623/frames/trial_0082_20250812_150801,68783.642990945,15.0,6.960614991839975
68784.70240411,83,0.399621,1.66499,1.139693,0.001983,0.521381,2.910832,run_tableB_20250812_150623/frames/trial_0083_20250812_150802,68784.708101831,10.0,5.697721004253253
68785.788922568,84,1.540846,1.839859,1.701228,0.002194,0.134072,3.004377,run_tableB_20250812_150623/frames/trial_0084_20250812_150803,68785.792995846,7.0,4.073278003488667
68786.855027092,85,1.345589,1.782251,1.625806,0.002555,0.151284,2.757593,run_tableB_20250812_150623/frames/trial_0085_20250812_150804,68786.859448303,8.0,4.421211007866077
68787.944590364,86,1.286869,1.59542,1.443985,0.002695,0.145423,2.974171,run_tableB_20250812_150623/frames/trial_0086_20250812_150805,68787.948797212,11.0,4.206847996101715
68788.969268352,87,1.578217,1.818448,1.629684,0.003016,0.182903,4.671582,run_tableB_20250812_150623/frames/trial_0087_20250812_150806,68788.973037658,11.0,3.769306000322104
68790.048426935,88,0.76624,1.690418,1.474822,0.003206,0.209033,2.750671,run_tableB_20250812_150623/frames/trial_0088_20250812_150807,68790.053038013,8.0,4.611077994923107
68791.050535396,89,1.307337,1.831213,1.682202,0.002475,0.14377,2.773003,run_tableB_20250812_150623/frames/trial_0089_20250812_150808,68791.054159348,8.0,3.6239519977243617
68792.085856972,90,1.86188,1.724482,1.130325,0.003717,0.587183,2.949224,run_tableB_20250812_150623/frames/trial_0090_20250812_150809,68792.093130816,13.0,7.2738440067041665
68793.083762622,91,0.711838,1.762764,1.608704,0.002855,0.148119,2.714232,run_tableB_20250812_150623/frames/trial_0091_20250812_150810,68793.088085779,8.0,4.323157001635991
68794.14735327,92,1.565212,1.858885,1.715324,0.003206,0.137228,2.728179,run_tableB_20250812_150623/frames/trial_0092_20250812_150811,68794.152962314,11.0,5.609043990261853
